symbol,breakout_session,first_trigger_passed,final_trigger_passed,trigger_reason,cold_phase_pre_min_close,cold_phase_pre_max_close,cold_phase_pre_mean_vol,cold_phase_pre_median_vol,is_anchor_reference_symbol,breakout_date,previous_date,confirm_date,pre_window,confirm_offset,trim_top_n,trim_bottom_n,price_lr_raw,price_lr_trimmed,vol_lr_raw,vol_lr_trimmed,breakout_green,breakout_close_position_in_range,confirm_close_vs_breakout_close,confirm_close_position_in_range,confirm_vol_vs_breakout_vol,pre_max_drawdown,pre_gap_down_count,price_ratio_prev_to_breakout,volume_ratio_prev_to_breakout,price_ratio_prev_to_confirm,volume_ratio_prev_to_confirm,criteria_pre_window,criteria_confirm_offset,criteria_cold_phase_price_min,criteria_cold_phase_price_max,criteria_cold_phase_mean_volume_min,criteria_cold_phase_mean_volume_max,criteria_cold_phase_median_volume_min,criteria_cold_phase_median_volume_max,criteria_min_price_lr_trimmed,criteria_min_vol_lr_trimmed,criteria_min_price_ratio_prev_to_breakout,criteria_min_volume_ratio_prev_to_breakout,criteria_min_price_ratio_prev_to_confirm,criteria_min_volume_ratio_prev_to_confirm,criteria_require_breakout_green,criteria_min_confirm_close_vs_breakout_close,criteria_min_confirm_close_position_in_range,criteria_min_pre_max_drawdown,criteria_max_pre_gap_down_count
ACCD,2025-01-07,True,False,CONFIRMATION_RANGE_POSITION_REJECTED,3.27,3.86,978815.1333333332,782600.0,False,2025-01-07,2025-01-06,2025-01-09,30,1,1,1,-0.0133570634037818,-0.0131226053639845,-8824.070745272526,-9343.52818828681,False,0.2500000000000055,0.9956268221574344,0.0,0.4593375203707557,-0.1528497409326424,0,2.047761194029851,24.984011890613623,2.038805970149254,11.47609407074794,30,1,2.0,9.0,100000.0,1500000.0,80000.0,1200000.0,-0.1,-100000.0,1.172897,19.617994,1.158879,3.01405,False,0.9,0.5,-0.6,8
BTCS,2025-01-16,True,False,CONFIRMATION_RANGE_POSITION_REJECTED,2.37,3.93,545573.4,444242.0,False,2025-01-16,2025-01-15,2025-01-20,30,1,1,1,-0.0455283648498332,-0.0443650793650795,-32713.817130144605,-23620.75287356322,True,0.5681818181818182,0.9551820728291316,0.3287671232876715,0.3841452195666527,-0.3969465648854962,5,1.332089552238806,36.834731962769006,1.2723880597014925,14.1498861975167,30,1,2.0,9.0,100000.0,1500000.0,80000.0,1200000.0,-0.1,-100000.0,1.172897,19.617994,1.158879,3.01405,False,0.9,0.5,-0.6,8
GSIT,2025-01-16,True,False,CONFIRMATION_CLOSE_REJECTED,2.59,3.5,177737.56666666668,140456.0,False,2025-01-16,2025-01-15,2025-01-20,30,1,1,1,0.0071056729699666,0.0050383141762452,3252.2373748609566,4211.727148330597,True,0.525,0.8911392405063291,0.1538461538461539,0.0352578707297129,-0.2199999999999999,2,1.4363636363636365,346.6892789899214,1.28,12.22352578200402,30,1,2.0,9.0,100000.0,1500000.0,80000.0,1200000.0,-0.1,-100000.0,1.172897,19.617994,1.158879,3.01405,False,0.9,0.5,-0.6,8
RNAZ,2025-01-27,True,False,CONFIRMATION_CLOSE_REJECTED,3.18,7.89,909047.7,86351.5,False,2025-01-27,2025-01-26,2025-01-28,30,1,1,1,-0.0575261401557286,-0.0394116037219485,138096.8362625139,75918.1198686371,True,0.2396416573348264,0.8450704225352114,0.1618357487922705,0.0718738910425864,-0.5969581749049429,4,1.4553440702781844,57.39628877596417,1.2298682284040996,4.125294605732477,30,1,2.0,9.0,100000.0,1500000.0,80000.0,1200000.0,-0.1,-100000.0,1.172897,19.617994,1.158879,3.01405,False,0.9,0.5,-0.6,8
PACK,2025-01-28,True,False,CONFIRMATION_RANGE_POSITION_REJECTED,5.74,7.9,189889.53333333333,163885.0,False,2025-01-28,2025-01-27,2025-01-29,30,1,1,1,-0.0643537263626256,-0.062022441160372,432.6189098998888,1428.2200328407223,True,0.8950276243093925,0.903914590747331,0.0357142857142857,0.1653500888165982,-0.2734177215189873,0,1.4686411149825782,65.2921572275228,1.3275261324041812,10.796063996598187,30,1,2.0,9.0,100000.0,1500000.0,80000.0,1200000.0,-0.1,-100000.0,1.172897,19.617994,1.158879,3.01405,False,0.9,0.5,-0.6,8
XGN,2025-02-03,True,True,IMPULSE_CONFIRMED,3.0,5.52,166978.1,94870.0,False,2025-02-03,2025-02-02,2025-02-04,30,1,1,1,-0.0355394883203559,-0.0299370552818827,-2617.343937708565,-3786.806239737274,True,0.6764705882352939,1.061752988047809,0.6605504587155961,0.3809399164567178,-0.4565217391304347,3,1.2938144329896906,20.98266491218033,1.3737113402061856,7.993134618685279,30,1,2.0,9.0,100000.0,1500000.0,80000.0,1200000.0,-0.1,-100000.0,1.172897,19.617994,1.158879,3.01405,False,0.9,0.5,-0.6,8
ACB,2025-02-04,True,True,IMPULSE_CONFIRMED,3.46,4.7,735823.4333333333,665777.5,False,2025-02-04,2025-02-03,2025-02-05,30,1,1,1,-0.0291301446051169,-0.0281828133552271,2108.634705228031,4640.791735084838,True,0.7142857142857141,1.1638733705772812,0.712230215827338,0.303012841907786,-0.2638297872340426,0,1.4592391304347825,65.17204893434648,1.6983695652173911,19.747967760549624,30,1,2.0,9.0,100000.0,1500000.0,80000.0,1200000.0,-0.1,-100000.0,1.172897,19.617994,1.158879,3.01405,False,0.9,0.5,-0.6,8
AMPS,2025-02-05,True,True,IMPULSE_CONFIRMED,3.31,4.47,1310231.7333333334,992147.0,False,2025-02-05,2025-02-04,2025-02-06,30,1,1,1,-0.0129010011123471,-0.0113820470717022,-54165.72146829811,-27880.86644772852,False,0.1666666666666642,1.0,0.5,0.3102989882306741,-0.2595078299776285,0,1.2715404699738904,80.610567708197,1.2715404699738904,25.013377600553778,30,1,2.0,9.0,100000.0,1500000.0,80000.0,1200000.0,-0.1,-100000.0,1.172897,19.617994,1.158879,3.01405,False,0.9,0.5,-0.6,8
HKD,2025-02-05,True,False,CONFIRMATION_CLOSE_REJECTED,2.59,2.96,317751.6666666667,219929.0,False,2025-02-05,2025-02-04,2025-02-06,30,1,1,1,-0.0048320355951059,-0.0045894909688014,-9997.293437152392,-3273.9499178981937,True,0.7692307692307699,0.8781249999999999,0.2083333333333342,0.148754009824292,-0.125,0,1.207547169811321,60.83566485389518,1.060377358490566,9.049549087343662,30,1,2.0,9.0,100000.0,1500000.0,80000.0,1200000.0,-0.1,-100000.0,1.172897,19.617994,1.158879,3.01405,False,0.9,0.5,-0.6,8
ORMP,2025-02-10,True,False,CONFIRMATION_RANGE_POSITION_REJECTED,2.16,2.45,126960.8,117906.5,False,2025-02-10,2025-02-09,2025-02-11,30,1,1,1,-0.0091568409343714,-0.0092364532019704,-1872.5548387096767,121.62534209085932,True,0.4302325581395351,0.95,0.0740740740740741,0.132683001221865,-0.1183673469387754,0,1.19815668202765,51.74837358032859,1.1382488479262671,6.866129514988264,30,1,2.0,9.0,100000.0,1500000.0,80000.0,1200000.0,-0.1,-100000.0,1.172897,19.617994,1.158879,3.01405,False,0.9,0.5,-0.6,8
